epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,585.484,1.00677,3.34806,0.01744,0.64538,0.62729,0.67724,0.44869,1.23669,1.24934,0.02628,0.00998832,0.00332944,0.00998832,0.00332944,0.0766939,0.070035,0.00998832,0.00332944
2,1042.25,1.06339,1.77316,0.01852,0.76389,0.69936,0.78785,0.52999,1.1983,1.01544,0.02533,0.0197904,0.00659681,0.0197904,0.00659681,0.0531627,0.0399691,0.0197904,0.00659681
3,1460.58,1.14809,1.68823,0.0203,0.74934,0.62291,0.72429,0.42977,1.4943,1.25433,0.03367,0.0293945,0.00979818,0.0293945,0.00979818,0.0294335,0.00983712,0.0293945,0.00979818
4,1865.48,1.20558,1.72331,0.02155,0.73376,0.66491,0.7524,0.45242,1.45068,1.1382,0.03245,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2269.89,1.16775,1.5721,0.02069,0.77649,0.69455,0.78079,0.50328,1.32044,1.02131,0.0289,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2674.29,1.14273,1.47159,0.02014,0.84524,0.72436,0.84501,0.58379,1.15525,0.86028,0.02433,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3078.85,1.10235,1.36759,0.01907,0.85142,0.78139,0.86855,0.59569,1.16651,0.79138,0.02535,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3483.29,1.07692,1.29317,0.01859,0.86012,0.75582,0.86454,0.58898,1.1842,0.83091,0.02479,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3887.12,1.05256,1.25561,0.01798,0.86373,0.80809,0.89426,0.64491,1.05159,0.69211,0.02138,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4308.55,1.04143,1.20639,0.01779,0.86735,0.80109,0.88545,0.67408,0.93077,0.68826,0.01956,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4759.35,1.02173,1.15871,0.0174,0.90433,0.77868,0.89647,0.67036,0.96614,0.67212,0.01973,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5243.87,1.00873,1.123,0.01719,0.8915,0.80807,0.90329,0.67598,0.97291,0.64717,0.0202,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
