epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,540.221,0.99275,4.51149,0.01718,0.58757,0.57142,0.59812,0.36004,1.40067,1.49439,0.03084,0.00998832,0.00332944,0.00998832,0.00332944,0.00998832,0.00332944,0.00998832,0.00332944
2,987.125,1.04981,2.11625,0.01828,0.71269,0.71292,0.77163,0.50917,1.19409,1.03451,0.0244,0.0197904,0.00659681,0.0197904,0.00659681,0.0197904,0.00659681,0.0197904,0.00659681
3,1421.9,1.143,1.73828,0.02018,0.66215,0.65952,0.70012,0.45344,1.32103,1.27152,0.03009,0.0293945,0.00979818,0.0293945,0.00979818,0.0293945,0.00979818,0.0293945,0.00979818
4,1844.61,1.19081,1.72165,0.0213,0.76512,0.67624,0.76054,0.47839,1.35832,1.08617,0.02844,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2268.44,1.16483,1.57554,0.02052,0.81084,0.72966,0.82735,0.55407,1.24166,0.92283,0.02731,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2692.21,1.12869,1.44708,0.01967,0.84555,0.71859,0.83107,0.61483,0.98454,0.85584,0.02116,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3115.17,1.10055,1.37702,0.01909,0.85703,0.76168,0.87093,0.6067,1.15033,0.76737,0.02509,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3537.24,1.06799,1.2995,0.01837,0.83669,0.79581,0.87684,0.65417,0.95843,0.7377,0.01993,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3960.99,1.05864,1.27179,0.01825,0.83284,0.78396,0.87199,0.6365,1.02648,0.76168,0.02213,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4385.25,1.03545,1.21334,0.01764,0.86265,0.79654,0.87586,0.61979,1.12427,0.7187,0.02393,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4809,1.01382,1.15845,0.01733,0.88608,0.80872,0.90478,0.66542,1.03066,0.65043,0.02125,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5231.23,0.99491,1.11622,0.01704,0.87826,0.81448,0.90131,0.67527,0.95224,0.63871,0.0199,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
